id,time,outerdevice_id,outerdevice_parameter_id,value,create_at,create_user,elec
41445591,2:00:00 PM,1370,21,1855318.38,0.024601852,DeviceDataService,126.26
41445784,3:00:00 PM,1370,21,1855448.12,0.024601852,DeviceDataService,129.74
41445977,4:00:00 PM,1370,21,1855573.25,0.024601852,DeviceDataService,125.13
41446170,5:00:00 PM,1370,21,1855700.75,0.024601852,DeviceDataService,127.5
41446363,6:00:00 PM,1370,21,1855829.25,0.024601852,DeviceDataService,128.5
41446556,7:00:00 PM,1370,21,1855956,0.024601852,DeviceDataService,126.75
41446749,8:00:00 PM,1370,21,1856066.88,0.024601852,DeviceDataService,110.88
41446942,9:00:00 PM,1370,21,1856171.62,0.024601852,DeviceDataService,104.74
41447135,10:00:00 PM,1370,21,1856275.25,0.024601852,DeviceDataService,103.63
41447328,11:00:00 PM,1370,21,1856370,0.024601852,DeviceDataService,94.75
41447544,12:00:00 AM,1370,21,1856459.25,0.024680556,DeviceDataService,89.25
41447737,1:00:00 AM,1370,21,1856548.38,0.024680556,DeviceDataService,89.13
41447930,2:00:00 AM,1370,21,1856636.38,0.024680556,DeviceDataService,88
41448123,3:00:00 AM,1370,21,1856722,0.024680556,DeviceDataService,85.62
41448316,4:00:00 AM,1370,21,1856809.25,0.024680556,DeviceDataService,87.25
41448509,5:00:00 AM,1370,21,1856912.75,0.024680556,DeviceDataService,103.5
41448702,6:00:00 AM,1370,21,1857024.38,0.024680556,DeviceDataService,111.63
41448895,7:00:00 AM,1370,21,1857166,0.024680556,DeviceDataService,141.62
41449088,8:00:00 AM,1370,21,1857340.75,0.024680556,DeviceDataService,174.75
41449281,9:00:00 AM,1370,21,1857583.62,0.024680556,DeviceDataService,242.87
41449474,10:00:00 AM,1370,21,1857864.88,0.024680556,DeviceDataService,281.26
41449667,11:00:00 AM,1370,21,1858126,0.024680556,DeviceDataService,261.12
41449860,12:00:00 PM,1370,21,1858389.62,0.024680556,DeviceDataService,263.62
41450053,1:00:00 PM,1370,21,1858635.25,0.024680556,DeviceDataService,245.63
41450246,2:00:00 PM,1370,21,1858898.38,0.024680556,DeviceDataService,263.13
41450439,3:00:00 PM,1370,21,1859168.75,0.024680556,DeviceDataService,270.37
41450632,4:00:00 PM,1370,21,1859442,0.024680556,DeviceDataService,273.25
41450825,5:00:00 PM,1370,21,1859699.62,0.024680556,DeviceDataService,257.62
